System,NodeID,"M (body size, g)",ratio (mcerc Mnew:old),B (kg/ha)
BSQ,434,0.00000141,2.0068652482,0.0021523
CSM,434,0.00000141,2.0068652482,0.0026179
EPB,434,0.00000141,2.0068652482,0.0027329
BSQ,417,0.00000147,7.9591836735,0.0006572
CSM,417,0.00000147,7.9591836735,0.0068091
EPB,417,0.00000147,7.9591836735,0.0004933
BSQ,427,0.00000147,7.9591836735,0.000636
EPB,427,0.00000147,7.9591836735,0.0000148
BSQ,429,0.00000147,7.9816326531,0.0000014
EPB,412,0.0000179,7.9921787709,0.0000913
EPB,411,0.0000179,7.9944134078,0.0086641
BSQ,426,0.00000539,7.9962894249,0.0020411
EPB,426,0.00000539,7.9962894249,0.0001213
CSM,422,0.00000654,7.996941896,4.8333e-5
BSQ,440,0.00000654,7.996941896,0.0017483
CSM,440,0.00000654,7.996941896,0.0015198
EPB,440,0.00000654,7.996941896,0.009244
BSQ,414,0.00001034,7.998065764,0.0099598
CSM,414,0.00001034,7.998065764,0.0119752
EPB,414,0.00001034,7.998065764,0.0034636
BSQ,424,0.00001034,7.998065764,0.0030614
BSQ,423,0.0000109,8,9.3717e-5
EPB,425,0.00000539,8,2.9373e-6
BSQ,406,0.00000465,8,0.0009053
CSM,406,0.00000465,8,0.4942338
EPB,406,0.00000465,8,0.6690013
BSQ,435,0.00000539,8,0.0274515
CSM,435,0.00000539,8,0.0069293
EPB,435,0.00000539,8,0.0193644
EPB,436,0.00001264,8.0023734177,3.3319e-6
BSQ,403,7.236e-6,8.0026894961,0.042512
CSM,403,7.236e-6,8.0026894961,0.0075537
EPB,403,7.236e-6,8.0026894961,0.0134943
EPB,431,0.00006456,8.0034076828,0.0018044
EPB,419,9.356e-6,8.0038477982,0.0012568
EPB,420,9.356e-6,8.0038477982,0.0000106
EPB,428,0.00011232,8.0039886395,0.0004438
BSQ,407,1.2637e-5,8.0041149007,3.0794e-7
CSM,407,1.2637e-5,8.0041149007,7.4237e-5
EPB,407,1.2637e-5,8.0041149007,0.0009003
CSM,418,6.592e-6,8.0042475728,4.4415e-6
BSQ,442,6.592e-6,8.0097087379,0.0188108
CSM,442,6.592e-6,8.0097087379,0.0051778
EPB,402,0.00000196,8.0102040816,0.0077442
EPB,404,0.00000196,8.0102040816,0.0056356
BSQ,421,0.000007,8.0142857143,0.0033609
